Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0603_1608Metric,176.609375,-91.503996,0.0,top
C10,10pF,C_0402_1005Metric,170.934656,-81.388607,90.0,top
C11,10pF,C_0402_1005Metric,166.434656,-81.388607,90.0,top
C12,4.7uF,C_0603_1608Metric,160.491181,-103.025976,180.0,top
C13,100nF,C_0402_1005Metric,163.0,-104.5,90.0,top
C14,22uF,C_0805_2012Metric,159.991181,-121.978476,90.0,top
C15,22uF,C_0805_2012Metric,154.991181,-122.478476,0.0,top
C16,4.7pF,C_0402_1005Metric,175.75,-83.0,90.0,top
C17,4.7pF,C_0402_1005Metric,178.25,-83.0,90.0,top
C18,100nF,C_0402_1005Metric,196.0,-95.978476,90.0,top
C19,100nF,C_0402_1005Metric,196.0,-100.478476,-90.0,top
C2,100nF,C_0402_1005Metric,163.036385,-96.669799,90.0,top
C20,100nF,C_0402_1005Metric,161.991181,-68.025976,0.0,top
C21,1uF,C_0402_1005Metric,137.0,-129.5,90.0,top
C22,1uF,C_0402_1005Metric,131.0,-129.5,-90.0,top
C23,2.2uF,C_0805_2012Metric,127.5,-113.5,-90.0,top
C24,2.2uF,C_0805_2012Metric,127.0,-116.5,180.0,top
C25,1uF,C_0402_1005Metric,141.026545,-115.205054,-90.0,top
C26,100nF,C_0402_1005Metric,139.526545,-115.185054,-90.0,top
C27,1uF,C_0402_1005Metric,127.0,-119.0,-90.0,top
C28,100nF,C_0402_1005Metric,128.5,-119.0,-90.0,top
C29,10uF,C_0603_1608Metric,125.0,-119.5,-90.0,top
C3,100nF,C_0402_1005Metric,178.991181,-96.0,-90.0,top
C30,1uF,C_0402_1005Metric,130.0,-111.0,90.0,top
C31,1uF,C_0402_1005Metric,141.0,-113.0,-90.0,top
C32,100nF,C_0402_1005Metric,139.5,-113.0,-90.0,top
C33,100nF,C_0402_1005Metric,131.5,-111.0,90.0,top
C34,10nF,C_0402_1005Metric,136.5,-106.5,0.0,top
C35,10nF,C_0402_1005Metric,134.0,-106.5,180.0,top
C36,1uF,C_0402_1005Metric,135.401181,-93.728476,180.0,top
C37,1uF,C_0402_1005Metric,129.901181,-93.728476,0.0,top
C38,1uF,C_0402_1005Metric,131.901181,-94.228476,90.0,top
C39,1uF,C_0402_1005Metric,133.401181,-94.228476,90.0,top
C4,100nF,C_0402_1005Metric,176.491181,-93.0,0.0,top
C40,2.2uF,C_0805_2012Metric,127.5,-89.728476,0.0,top
C41,1uF,C_0402_1005Metric,130.401181,-86.728476,180.0,top
C42,1uF,C_0402_1005Metric,132.901181,-86.228476,180.0,top
C43,1uF,C_0402_1005Metric,136.384019,-89.072263,0.0,top
C44,100nF,C_0402_1005Metric,174.491181,-67.978476,0.0,top
C5,100nF,C_0402_1005Metric,174.48,-107.911823,180.0,top
C6,10nF,C_0402_1005Metric,169.0,-91.5,0.0,top
C7,1uF,C_0402_1005Metric,169.0,-90.0,0.0,top
C8,1uF,C_0402_1005Metric,165.0,-88.0,90.0,top
C9,100nF,C_0402_1005Metric,195.5,-123.5,-90.0,top
CN1,MIDI Out 1,AUDIO-SMD_PJ-321A-4A,193.491181,-44.728472,0.0,top
CN2,MIDI In 1,AUDIO-SMD_PJ-321A-4A,158.991181,-44.775976,0.0,top
CN3,MIDI Out 2,AUDIO-SMD_PJ-321A-4A,181.991181,-44.743096,0.0,top
CN4,MIDI In 2,AUDIO-SMD_PJ-321A-4A,170.491181,-44.728476,0.0,top
CN5,Line out,AUDIO-SMD_PJ-321A-4A,115.241181,-122.5,90.0,top
CN6,Headphone,AUDIO-SMD_PJ-321A-4A,115.491181,-87.5,90.0,top
D10,ESD,D_SOD-923,166.0,-129.0,45.0,top
D2,RED_PWR,LED_0603_1608Metric,150.0,-128.5,0.0,top
D3,USER_RED,LED_0603_1608Metric,170.590006,-113.712494,90.0,top
D4,USER_GREEN,LED_0603_1608Metric,168.000006,-113.712494,90.0,top
D5,USER_BLUE,LED_0603_1608Metric,165.410006,-113.712494,90.0,top
D6,1N4148W,D_SOD-123,157.491181,-52.025976,180.0,top
D7,1N4148W,D_SOD-123,168.991181,-51.978476,180.0,top
D8,ESD,D_SOD-923,173.332313,-125.039289,0.0,top
D9,ESD,D_SOD-923,175.234331,-125.032299,180.0,top
FB1,120@100MHz,L_0603_1608Metric,166.0,-90.0,180.0,top
FID1,Fiducial,Fiducial_1mm_Mask2mm,116.0,-131.978478,0.0,top
FID2,Fiducial,Fiducial_1mm_Mask2mm,198.0,-132.0,0.0,top
FID3,Fiducial,Fiducial_1mm_Mask2mm,202.491181,-45.5,0.0,top
J1,GT-USB-7010I,USB-C-SMD_GT-USB-7010I,174.5,-132.260976,0.0,top
J2,SWD,PinHeader_1x05_P2.54mm_Vertical,202.0,-63.5,0.0,top
J3,I2C,PinHeader_2x04_P2.54mm_Vertical,200.73,-79.77,180.0,top
J4,UART46,PinHeader_2x04_P2.54mm_Vertical,115.77,-55.23,180.0,top
J5,UART5,PinHeader_1x04_P2.54mm_Vertical,190.99,-132.0,-90.0,top
J6,SPI,PinHeader_1x05_P2.54mm_Vertical,145.505,-41.1988,90.0,top
J9,Serial,PinHeader_1x04_P2.54mm_Vertical,114.5,-70.51,0.0,top
P1,GPIO,HDR-TH_16P-P2.54-V-M-R2-C8-S2.54,127.0,-42.5,180.0,top
