Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C29",0603,2,10uF,C96446
"C10, C11",0402,2,10pF,C32949
C12,0603,1,4.7uF,C19666
"C13, C18, C19, C2, C20, C26, C28, C3, C32, C33, C4, C44, C5, C9",0402,14,100nF,C307331
"C14, C15",0805,2,22uF,C45783
"C16, C17",0402,2,4.7pF,C1569
"C21, C22, C25, C27, C30, C31, C36, C37, C38, C39, C41, C42, C43, C7, C8",0402,15,1uF,C52923
"C23, C24, C40",0805,3,2.2uF,C377773
"C34, C35, C6",0402,3,10nF,C15195
CN1,AUDIO-SMD_PJ-321A-4A,1,MIDI Out 1,C879743
CN2,AUDIO-SMD_PJ-321A-4A,1,MIDI In 1,C879743
CN3,AUDIO-SMD_PJ-321A-4A,1,MIDI Out 2,C879743
CN4,AUDIO-SMD_PJ-321A-4A,1,MIDI In 2,C879743
CN5,AUDIO-SMD_PJ-321A-4A,1,Line out,C879743
CN6,AUDIO-SMD_PJ-321A-4A,1,Headphone,C879743
"D10, D8, D9",D_SOD-923,3,ESD,C111566
D2,0603,1,RED_PWR,C2286
D3,0603,1,USER_RED,C2286
D4,0603,1,USER_GREEN,C72043
D5,0603,1,USER_BLUE,C72038
"D6, D7",D_SOD-123,2,1N4148W,C81598
FB1,0603,1,120@100MHz,C133937
J1,USB-C-SMD_GT-USB-7010I,1,GT-USB-7010I,C5362630
J2,PinHeader_1x05_P2.54mm_Vertical,1,SWD,C7430361
J3,PinHeader_2x04_P2.54mm_Vertical,1,I2C,C5156676
J4,PinHeader_2x04_P2.54mm_Vertical,1,UART46,C5156676
J5,PinHeader_1x04_P2.54mm_Vertical,1,UART5,C5116483
J6,PinHeader_1x05_P2.54mm_Vertical,1,SPI,C7430361
J9,PinHeader_1x04_P2.54mm_Vertical,1,Serial,C5116483
P1,HDR-TH_16P-P2.54-V-M-R2-C8-S2.54,1,GPIO,C68234
"R1, R21",0402,2,10kΩ,C25744
"R10, R12",0402,2,100Ω,C25076
"R11, R9",0402,2,4k7Ω,C25900
"R13, R14, R26, R27",0402,4,47Ω,C25118
"R15, R22, R23, R28",0402,4,220Ω,C25091
"R16, R29",0402,2,470Ω,C25117
"R17, R18, R19, R20",0402,4,1k8Ω,C25871
"R2, R3",0402,2,5k1Ω,C25905
"R24, R25",0402,2,3k9Ω 1%,C51721
"R4, R5, R6, R7, R8",0402,5,1k5Ω,C25867
RN1,RES-ARRAY-SMD_0603-8P-L3.2-W1.6-BL,1,56Ω,C25512
SW1,SW_SPDT_PCM12,1,BOOT0,C109335
SW2,SW_SPDT_PCM12,1,Gain0,C109335
SW3,SW_SPDT_PCM12,1,Gain1,C109335
SW4,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,1,BTN1,C318884
SW5,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,1,BTN2,C318884
SW6,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,1,Reset,C318884
U1,LQFP-64_10x10mm_P0.5mm,1,STM32F722RETx,C118207
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U3,QFN-16_L3.0-W3.0-P0.50-BL-EP1.7,1,PAM8908JER,C33233
U4,TSSOP-20_4.4x6.5mm_P0.65mm,1,PCM5102A,C107671
"U6, U7",SOP-8_L9.8-W6.6-P2.54-LS10.3-BL,2,6N137S-TA1,C92651
U8,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,1,AP7333-33SRG-7,C150745
X1,FC-135R_L3.2-W1.5,1,32.768kHz 7pF,C48615
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16MHz 10pF,C112972
