Designator,Mid X,Mid Y,Rotation,Layer
C1,176.609375,-91.503996,0.0,top
C10,170.934656,-81.388607,90.0,top
C11,166.434656,-81.388607,90.0,top
C12,160.491181,-103.025976,180.0,top
C13,163.0,-104.5,90.0,top
C14,159.991181,-121.978476,90.0,top
C15,154.991181,-122.478476,0.0,top
C16,175.75,-83.0,90.0,top
C17,178.25,-83.0,90.0,top
C18,196.0,-95.978476,90.0,top
C19,196.0,-100.478476,270.0,top
C2,163.036385,-96.669799,90.0,top
C20,161.991181,-68.025976,0.0,top
C21,137.0,-129.5,90.0,top
C22,131.0,-129.5,270.0,top
C23,127.5,-113.5,270.0,top
C24,127.0,-116.5,180.0,top
C25,141.026545,-115.205054,270.0,top
C26,139.526545,-115.185054,270.0,top
C27,127.0,-119.0,270.0,top
C28,128.5,-119.0,270.0,top
C29,125.0,-119.5,270.0,top
C3,178.991181,-96.0,270.0,top
C30,130.0,-111.0,90.0,top
C31,141.0,-113.0,270.0,top
C32,139.5,-113.0,270.0,top
C33,131.5,-111.0,90.0,top
C34,136.5,-106.5,0.0,top
C35,134.0,-106.5,180.0,top
C36,135.401181,-93.728476,180.0,top
C37,129.901181,-93.728476,0.0,top
C38,131.901181,-94.228476,90.0,top
C39,133.401181,-94.228476,90.0,top
C4,176.491181,-93.0,0.0,top
C40,127.5,-89.728476,0.0,top
C41,130.401181,-86.728476,180.0,top
C42,132.901181,-86.228476,180.0,top
C43,136.384019,-89.072263,0.0,top
C44,174.491181,-67.978476,0.0,top
C5,174.48,-107.911823,180.0,top
C6,169.0,-91.5,0.0,top
C7,169.0,-90.0,0.0,top
C8,165.0,-88.0,90.0,top
C9,195.5,-123.5,270.0,top
CN1,193.491181,-44.728472,0.0,top
CN2,158.991181,-44.775976,0.0,top
CN3,181.991181,-44.743096,0.0,top
CN4,170.491181,-44.728476,0.0,top
CN5,115.241181,-122.5,90.0,top
CN6,115.491181,-87.5,90.0,top
D10,166.0,-129.0,45.0,top
D2,150.0,-128.5,0.0,top
D3,170.590006,-113.712494,90.0,top
D4,168.000006,-113.712494,90.0,top
D5,165.410006,-113.712494,90.0,top
D6,157.491181,-52.025976,180.0,top
D7,168.991181,-51.978476,180.0,top
D8,173.332313,-125.039289,0.0,top
D9,175.234331,-125.032299,180.0,top
FB1,166.0,-90.0,180.0,top
FID1,116.0,-131.978478,0.0,top
FID2,198.0,-132.0,0.0,top
FID3,202.491181,-45.5,0.0,top
J1,174.5,-132.688476,0.0,top
J2,202.0,-63.495,0.0,top
J3,200.725,-79.78,180.0,top
J4,115.765,-55.24,180.0,top
J5,191.0,-132.0,270.0,top
J6,145.5,-41.1988,90.0,top
J9,114.5,-70.5,0.0,top
P1,127.0,-42.5,180.0,top
R1,200.110834,-113.22722,0.0,top
R10,196.0,-92.978476,90.0,top
R11,194.5,-100.478476,90.0,top
R12,196.0,-103.498476,270.0,top
R13,196.991181,-51.478472,270.0,top
R14,189.991181,-51.478472,270.0,top
R15,162.491181,-51.525976,270.0,top
R16,157.491181,-68.025976,0.0,top
R17,198.0,-87.5,270.0,top
R18,199.5,-87.5,270.0,top
R19,202.0,-87.5,90.0,top
R2,178.0,-127.0,180.0,top
R20,203.5,-87.5,90.0,top
R21,145.0,-112.5,270.0,top
R22,134.5,-109.02,90.0,top
R23,136.0,-109.02,90.0,top
R24,130.0,-96.728476,0.0,top
R25,135.5,-96.728476,180.0,top
R26,185.491181,-51.285976,270.0,top
R27,178.491181,-51.275976,270.0,top
R28,173.991181,-51.978476,270.0,top
R29,170.5,-67.978476,0.0,top
R3,171.020545,-126.708964,0.0,top
R4,175.322381,-123.602739,0.0,top
R5,149.209778,-125.0,90.0,top
R6,170.430006,-117.212494,270.0,top
R7,167.920006,-117.212494,270.0,top
R8,165.430006,-117.212494,270.0,top
R9,194.5,-95.978476,270.0,top
RN1,145.9,-117.5,90.0,top
SW1,204.491181,-113.978476,90.0,top
SW2,109.5,-110.0,270.0,top
SW3,109.5,-99.901199,270.0,top
SW4,200.991181,-94.478476,0.0,top
SW5,200.991181,-101.978476,180.0,top
SW6,200.991181,-123.628476,0.0,top
U1,170.991181,-100.025976,180.0,top
U2,156.991181,-127.978476,0.0,top
U3,132.491181,-89.978476,90.0,top
U4,134.0,-116.0,270.0,top
U6,158.491181,-60.525976,90.0,top
U7,171.491181,-60.478476,90.0,top
U8,134.0,-130.0,270.0,top
X1,177.0,-85.5,180.0,top
Y1,168.434656,-84.888607,125.0,top
